시도,화재유형,발화요인대분류,발화요인소분류,장소대분류,인명피해_발생여부,발생_월,발생_시간,발생_요일
경상북도,"건축,구조물",미상,미상,주거,0,3,5,3
경상북도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,5,3
경상남도,"건축,구조물",전기적 요인,미확인단락,산업시설,0,3,6,3
강원특별자치도,기타(쓰레기 화재등),부주의,"용접, 절단, 연마",기타,0,3,6,3
인천광역시,"건축,구조물",화학적 요인,화학적 폭발,생활서비스,0,3,6,3
부산광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,7,3
전라남도,"건축,구조물",화학적 요인,금수성물질의 물과 접촉,산업시설,0,3,7,3
경상남도,"건축,구조물",전기적 요인,미확인단락,"판매,업무시설",1,3,7,3
경상남도,기타(쓰레기 화재등),미상,미상,기타,0,3,7,3
전북특별자치도,"건축,구조물",전기적 요인,미확인단락,주거,0,3,7,3
인천광역시,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,7,3
경상북도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,8,3
경기도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,8,3
경상북도,기타(쓰레기 화재등),화학적 요인,자연발화,기타,0,3,9,3
경기도,기타(쓰레기 화재등),부주의,"용접, 절단, 연마",기타,0,3,9,3
경기도,"건축,구조물",기계적 요인,기타(기계적요인),산업시설,0,3,9,3
경기도,"건축,구조물",전기적 요인,미확인단락,기타서비스,0,3,10,3
충청남도,"건축,구조물",화학적 요인,기타(화학적요인),산업시설,1,3,10,3
전라남도,"건축,구조물",부주의,"용접, 절단, 연마",기타서비스,0,3,10,3
서울특별시,"건축,구조물",부주의,담배꽁초,주거,0,3,10,3
충청남도,임야,부주의,"논,임야태우기",임야,0,3,11,3
경기도,기타(쓰레기 화재등),부주의,음식물 조리중,기타,0,3,11,3
세종특별자치시,"건축,구조물",부주의,"용접, 절단, 연마",산업시설,0,3,11,3
경상남도,"자동차,철도차량",방화,방화,"자동차,철도차량",0,3,11,3
경상남도,"자동차,철도차량",미상,미상,"자동차,철도차량",0,3,12,3
부산광역시,"건축,구조물",전기적 요인,미확인단락,주거,0,3,12,3
제주특별자치도,"건축,구조물",미상,미상,산업시설,0,3,12,3
경상남도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",생활서비스,0,3,12,3
부산광역시,"건축,구조물",부주의,음식물 조리중,주거,0,3,12,3
경기도,"자동차,철도차량",부주의,담배꽁초,"자동차,철도차량",0,3,13,3
경상남도,기타(쓰레기 화재등),부주의,가연물 근접방치,기타,0,3,13,3
경기도,"건축,구조물",전기적 요인,"압착,손상에 의한 단락",산업시설,0,3,13,3
부산광역시,기타(쓰레기 화재등),부주의,쓰레기 소각,기타,0,3,13,3
경상남도,"건축,구조물",부주의,쓰레기 소각,기타서비스,0,3,13,3
부산광역시,"건축,구조물",부주의,음식물 조리중,주거,0,3,13,3
충청남도,기타(쓰레기 화재등),기타,기타,기타,0,3,13,3
서울특별시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,13,3
경기도,"자동차,철도차량",전기적 요인,트래킹에 의한 단락,"자동차,철도차량",0,3,14,3
충청남도,"건축,구조물",전기적 요인,트래킹에 의한 단락,산업시설,0,3,14,3
충청북도,"건축,구조물",부주의,기타(부주의),기타서비스,0,3,14,3
경상남도,"건축,구조물",전기적 요인,트래킹에 의한 단락,"판매,업무시설",0,3,14,3
울산광역시,"건축,구조물",부주의,담배꽁초,산업시설,0,3,14,3
부산광역시,"건축,구조물",전기적 요인,절연열화에 의한 단락,생활서비스,0,3,14,3
