player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Promise David,Canada,Canada,FW,24,2001,Union SG,4,0,80,0.9,1,1,2,1,0,0,0,0,1.13,1.13,2.25,1.13,2.25,5,3,60,5.63,3.38,0.2,0.33,20,17.8,,0,4,20,1,1,3,2,1,1.13,0.64,0,4,2,0,0,1,1,,,0,,,,,,,,,,,,,,,,,,
Richie Laryea,Canada,Canada,DF,31,1995,Toronto FC,5,5,429,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,50,0.42,0.21,0,0,86,95.3,86,3,0,,0,1.4,9,4,5,1.05,9.62,0,8,14,1,2,2,9,,,0,,,,,,,,,,,,,,,,,,
Stephen Eust?quio,Canada,Canada,MF,29,1996,Porto,5,4,392,4.4,1,0,1,1,0,0,0,0,0.23,0,0.23,0.23,0.23,4,1,25,0.92,0.23,0.25,1,78,87.1,90,3,1,33,0,1.4,9,4,5,1.15,4.25,0,2,7,0,45,3,5,,,0,,,,,,,,,,,,,,,,,,
Tajon Buchanan,Canada,Canada,MF,27,1999,Villarreal,5,5,376,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,50,1.44,0.72,0,0,75,83.6,75,0,0,,0,1.4,5,5,0,0,-3.65,0,5,8,2,16,1,5,,,0,,,,,,,,,,,,,,,,,,
Tani Oluwaseyi,Canada,Canada,FW,26,2000,Villarreal,5,3,259,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,50,2.78,1.39,0,0,52,57.6,69,0,2,27,0,1.4,3,2,1,0.35,-0.59,0,5,5,1,2,0,3,,,0,,,,,,,,,,,,,,,,,,
Andr?s G?mez,Colombia,Colombia,MF,23,2002,Vasco da Gama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0.2,,0,1,1,4,3,1,0,1,90,89.44,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,,,
Camilo Vargas,Colombia,Colombia,GK,37,1989,Atlas,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,96,100,96,5,0,,0,2.2,5,1,4,0.75,,0,0,0,0,0,0,0,,,0,5,5,480,1,0.19,7,6,85.7,3,2,0,4,80,0,0,0,0,
Cucho,Colombia,Colombia,"FW,MF",27,1999,Real Betis,2,0,50,0.6,0,1,1,0,0,0,0,0,0,1.8,1.8,0,1.8,1,0,0,1.8,0,0,,25,10.4,,0,2,25,3,2,1,0,1,1.8,1.17,0,0,1,0,1,0,0,,,0,,,,,,,,,,,,,,,,,,
Daniel Mu?oz,Colombia,Colombia,DF,30,1996,Crystal Palace,5,4,394,4.4,2,0,2,2,0,0,0,0,0.46,0,0.46,0.46,0.46,3,2,66.7,0.69,0.46,0.67,1,79,82.1,98,4,1,4,0,2.2,5,1,4,0.91,0.91,0,9,1,3,8,7,3,,,0,,,,,,,,,,,,,,,,,,
David Ospina,Colombia,Colombia,GK,37,1988,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
